SAMPLES,YEAR,stn,nisk,barcode,rep,Sample_Ctrl,Station,Niskin,DEPTH
GOM23_S7_N7_18S_S146,GOM23,S7,N7,18S,S146,Sample,7,7,399.476
GOM23_S7_N9_18S_orig,GOM23,S7,N9,18S,orig,Sample,7,9,98.397
GOM23_S7_N9_18S_S154,GOM23,S7,N9,18S,S154,Sample,7,9,98.397
GOM23_S8_N1_18S_orig,GOM23,S8,N1,18S,orig,Sample,8,1,924.761
GOM23_S8_N1_18S_S185,GOM23,S8,N1,18S,S185,Sample,8,1,924.761
GOM23_S8_N10_18S_orig,GOM23,S8,N10,18S,orig,Sample,8,10,15.176
GOM23_S8_N10_18S_S147,GOM23,S8,N10,18S,S147,Sample,8,10,15.176
GOM23_S8_N11_18S_orig,GOM23,S8,N11,18S,orig,Sample,8,11,2.641
GOM23_S8_N11_18S_S155,GOM23,S8,N11,18S,S155,Sample,8,11,2.641
GOM23_S8_N3_18S_orig,GOM23,S8,N3,18S,orig,Sample,8,3,800.289
GOM23_S8_N3_18S_S100,GOM23,S8,N3,18S,S100,Sample,8,3,800.289
GOM23_S8_N4_18S_orig,GOM23,S8,N4,18S,orig,Sample,8,4,648.188
GOM23_S8_N4_18S_S108,GOM23,S8,N4,18S,S108,Sample,8,4,648.188
GOM23_S8_N5_18S_orig,GOM23,S8,N5,18S,orig,Sample,8,5,498.597
GOM23_S8_N5_18S_S116,GOM23,S8,N5,18S,S116,Sample,8,5,498.597
GOM23_S8_N7_18S_orig,GOM23,S8,N7,18S,orig,Sample,8,7,109.038
GOM23_S8_N7_18S_S124,GOM23,S8,N7,18S,S124,Sample,8,7,109.038
GOM23_S8_N8_18S_orig,GOM23,S8,N8,18S,orig,Sample,8,8,76.433
GOM23_S8_N8_18S_S132,GOM23,S8,N8,18S,S132,Sample,8,8,76.433
GOM23_S8_N9_18S_orig,GOM23,S8,N9,18S,orig,Sample,8,9,45.819
GOM23_S8_N9_18S_S139,GOM23,S8,N9,18S,S139,Sample,8,9,45.819
GOM23_S9_N5_18S_orig,GOM23,S9,N5,18S,orig,Sample,9,5,65.347
GOM23_S9_N5_18S_S170,GOM23,S9,N5,18S,S170,Sample,9,5,65.347
GOM23_S9_N9_18S_orig,GOM23,S9,N9,18S,orig,Sample,9,9,2.195
GOM23_S9_N9_18S_S178,GOM23,S9,N9,18S,S178,Sample,9,9,2.195
